ε--------------------------------------------------------------------------------------------------------------------------------------------------
Category,Avg_PSNR_SR,Avg_PSNR_UP,Avg_SSIM_SR,Avg_SSIM_UP,Avg_BRISQUE_SR,Avg_BRISQUE_UP,Avg_AG_HR,Avg_AG_SR,Avg_AG_UP, RMSE_SR, RMSE_UP, Blur_SR, Blur_UP
High-Density_Urban,29.0635,32.1920,0.7769,0.8543,5.6263,15.7123,43.2305,43.4573,29.3740, 9.4799,6.3827,181.741252, 9.8760
Low-Density_Urban,31.8725,35.5674,0.7803,0.8765,6.6957,15.8852,33.4766,33.5264,20.8271, 6.6517,4.4134,102.079112, 5.8648
Industrial_&_Infrastructure,31.8641,35.2996,0.8345,0.9071,6.7263,15.6674,29.2887,32.3582,20.0613, 6.8798,4.5031,119.471689, 6.1134
Non-Urban__Green,32.6544,38.4103,0.8171,0.9057,6.7957,15.6892,26.1873,23.8586,15.7724, 7.2903,3.3679,59.457633, 4.1209

Pretrain 2000
Fine tune 1000
Patch size 48
Training data 400
--------------------------------------------------------------------------------------------------------------------------------------------------
Category,Avg_PSNR_SR,Avg_PSNR_UP,Avg_SSIM_SR,Avg_SSIM_UP,Avg_BRISQUE_SR,Avg_BRISQUE_UP,Avg_AG_HR,Avg_AG_SR,Avg_AG_UP, RMSE_SR, RMSE_UP, Blur_SR, Blur_UP
High-Density_Urban,30.2705,32.1920,0.8608,0.8543,12.8297,15.7123,43.2305,29.3225,29.3740, 8.5274,6.3827,32.748190, 9.8760
Low-Density_Urban,33.5019,35.5674,0.8735,0.8765,13.9700,15.8852,33.4766,20.9161,20.8271, 5.8928,4.4134,14.113013, 5.8648
Industrial_&_Infrastructure,34.6340,35.2996,0.9137,0.9071,13.8218,15.6674,29.2887,21.7555,20.0613, 4.9301,4.5031,25.593309, 6.1134
Non-Urban__Green,36.3165,38.4103,0.9010,0.9057,13.5778,15.6892,26.1873,15.8177,15.7724, 4.4139,3.3679,8.788948, 4.1209

Pretrain 1000
Fine tune 500
Patch size 24
Training data 400

--------------------------------------------------------------------------------------------------------------------------------------------------
Category,Avg_PSNR_SR,Avg_PSNR_UP,Avg_SSIM_SR,Avg_SSIM_UP,Avg_BRISQUE_SR,Avg_BRISQUE_UP,Avg_AG_HR,Avg_AG_SR,Avg_AG_UP, RMSE_SR, RMSE_UP, Blur_SR, Blur_UP
High-Density_Urban,32.7844,33.5968,0.8939,0.8844,12.9879,15.9611,41.1493,31.5662,30.4556, 6.2300,5.4970,30.812216, 9.2873
Low-Density_Urban,32.9313,34.5972,0.8721,0.8651,13.5204,15.9270,34.9792,22.5649,21.2814, 5.9251,4.8770,17.158721, 6.2317
Industrial_&_Infrastructure,31.1027,34.7815,0.8891,0.8921,11.8963,15.1159,30.9907,20.8494,20.4930, 8.4104,4.8237,21.334605, 6.7433
Non-Urban__Green,34.0795,36.4945,0.8847,0.8909,14.0293,16.1385,29.7026,18.7307,18.2205, 5.4423,3.8871,10.378511, 4.6686

Pretrain 4000
Fine tune 2000
Patch size 24
Training data 400
Testing data 80

--------------------------------------------------------------------------------------------------------------------------------------------------
Category,Avg_PSNR_SR,Avg_PSNR_UP,Avg_SSIM_SR,Avg_SSIM_UP,Avg_BRISQUE_SR,Avg_BRISQUE_UP,Avg_AG_HR,Avg_AG_SR,Avg_AG_UP, RMSE_SR, RMSE_UP, Blur_SR, Blur_UP
High-Density_Urban,30.5842,33.2342,0.8748,0.8735,11.8557,15.7165,40.8963,28.7407,28.8150, 8.3645,5.7643,34.534571, 9.7139
Low-Density_Urban,29.7168,34.0982,0.8517,0.8683,11.2375,15.4610,36.3365,22.6341,23.4119, 9.3054,5.1568,22.694396, 7.0601
Industrial_&_Infrastructure,31.4858,34.8836,0.8949,0.8967,11.6049,15.3827,31.3579,22.3818,21.3269, 8.1037,4.7279,28.406699, 6.6552
Non-Urban__Green,34.2105,36.7187,0.8902,0.8939,14.3367,16.3926,28.9506,18.4387,17.6848, 5.4274,3.7859,11.116910, 4.5291

Pretrain 4000
Fine tune 2000
Patch size 24
Training data 2332
Testing data 584
